GeneSymbol	GeneName	GFOLD	E_FDR	log2fdc	X1stRPKM	X2ndRPKM	threshold
AT1G01010	NAC001	0	1	-0.185087	0.507648	0.62837	Not
AT1G01020	NA	0	1	0.399875	0.181818	0.450112	Not
AT1G01030	NGA3	0	1	-1.77005	1.19952	0.371195	Not
AT1G01040	DCL1	0	1	0.329486	0.272945	0.506779	Not
AT1G01046	p_MI0005394	0	1	-0.185087	0	0	Not
AT1G01050	PPA1	0	1	-0.278197	3.67772	4.24883	Not
AT1G01060	LHY	0	1	1.81491	0.083495	0.723455	Not
AT1G01070	NA	0	1	-1.18509	0.468001	0.193098	Not
AT1G01080	NA	0	1	0.776439	2.89823	7.1749	Not
AT1G01090	PDH-E1 ALPHA	0	1	-0.0268252	10.2443	14.1724	Not
AT1G01100	RPP1A	0	1	-0.4665	26.0276	26.4346	Not
AT1G01110	NA	0	1	-1.77005	0.25967	0	Not
AT1G01120	KCS1	0	1	-0.0595564	4.45437	6.03056	Not
AT1G01130	NA	0	1	1.81491	0	2.8285	Not
AT1G01140	CIPK9	0	1	-0.46888	4.15527	4.19094	Not
AT1G01150	NA	0	1	-0.185087	0	0	Not
AT1G01160	GIF2	0	1	-0.310618	2.73932	3.0825	Not
AT1G01170	NA	-0.0330828	1	-0.0475837	4.99171	6.8653	Not
AT1G01180	NA	0	1	-0.922053	0.784716	0.485664	Not
AT1G01183	p_MI0000199	0	1	0.814913	0	3.18525	Not
AT1G01190	NA	0	1	-0.185087	0.326255	0.403841	Not
AT1G01200	RABA3	0	1	-0.185087	0	0	Not
AT1G01210	NA	0	1	-0.185087	0.528467	0.654141	Not
AT1G01220	FKGP	0	1	-0.185087	0.576607	0.713728	Not
AT1G01225	NA	0	1	1.39988	0	0.65657	Not
AT1G01230	NA	0	1	-1.27255	5.21711	2.82528	Not
AT1G01240	NA	0	1	-0.670514	0.807263	0.666157	Not
AT1G01250	ERF023	0	1	-0.507015	1.28232	1.19045	Not
AT1G01260	BHLH13	0	1	-1.18509	0.518585	0.256763	Not
AT1G01270	NA	0.644782	1	1.26367	142.818	491.06	Not
AT1G01280	CYP703A2	0	1	-0.77005	0.3566	0.220701	Not
AT1G01290	CNX3	0	1	-0.185087	0.424003	0.524834	Not
AT1G01300	APF2	0	1	-0.600125	5.40244	4.97252	Not
AT1G01305	NA	0	1	-0.185087	0	0	Not
AT1G01310	NA	0	1	0.814913	0	0.361886	Not
AT1G01320	NA	0	1	0.0927659	5.26259	7.90995	Not
AT1G01335	AREP1	0	1	-0.185087	0	0	Not
AT1G01340	CNGC10	0	1	-1.03308	0.850742	0.526527	Not
AT1G01350	NA	0	1	-1.35501	1.59351	0.739672	Not
AT1G01355	NA	0	1	-0.185087	0	0	Not
AT1G01360	PYL9	-0.00451365	1	-0.0151623	3.63405	5.09803	Not
AT1G01370	HTR12	0	1	-0.185087	0.16056	0.198743	Not
AT1G01380	ETC1	0	1	1.39988	0	0.828016	Not
AT1G01390	UGT72B2	0	1	0.551878	0.311151	0.77029	Not
AT1G01400	NA	0	1	-0.185087	0	0	Not
AT1G01410	APUM22	0	1	-0.185087	0	0	Not
AT1G01420	UGT72B3	0	1	-0.547657	1.26109	1.17074	Not
AT1G01430	TBL25	0	1	0.399875	0.936952	1.82249	Not
AT1G01440	NA	0	1	0.689382	0.504658	1.24934	Not
AT1G01448	NA	0	1	-0.185087	0	0	Not
AT1G01450	NA	0	1	-0.185087	0	0	Not
AT1G01453	NA	0	1	-0.185087	0	0	Not
AT1G01460	PIP5K10	0	1	-0.185087	0	0	Not
AT1G01470	LEA14	0	1	-0.228156	6.99259	8.39319	Not
